SKU,category,forecast_14d_total,mu_demand,sigma_demand,mu_lead,sigma_lead,safety_stock,ROP,EOQ,current_stock,annual_cost_dynamic,annual_cost_static,cost_saving_pct,action
ITM10000,Pharma,677.44,48.388,0.01,4.0,1.5,119.4,312.95,65.15,283,85621.78,172713.91,50.43,Reorder Now
ITM10001,Automotive,331.81,23.7,0.068,6.0,1.5,58.48,200.68,46.63,301,46143.83,83411.03,44.68,Hold
ITM10002,Groceries,540.21,38.586,0.376,8.0,1.5,95.23,403.92,63.73,132,62161.39,113324.09,45.15,Reorder Now
ITM10003,Automotive,466.38,33.313,0.064,5.0,1.5,82.2,248.76,41.87,346,92123.73,192750.84,52.21,Hold
ITM10004,Automotive,676.68,48.334,0.048,6.0,1.5,119.26,409.27,87.59,49,56387.13,100206.18,43.73,Reorder Now
ITM10005,Apparel,502.48,35.892,0.093,6.0,1.5,88.56,303.91,73.74,154,45649.99,78402.96,41.78,Reorder Now
ITM10006,Groceries,126.27,9.019,0.287,4.0,1.5,22.27,58.35,49.37,86,11321.95,15223.49,25.63,Hold
ITM10007,Groceries,673.9,48.136,0.207,4.0,1.5,118.78,311.32,58.22,84,100523.14,203573.64,50.62,Reorder Now
ITM10008,Groceries,464.54,33.181,0.13,9.0,1.5,81.88,380.51,68.36,311,44990.39,79030.15,43.07,Reorder Now
ITM10009,Automotive,87.14,6.225,0.494,8.0,1.5,15.53,65.33,19.54,44,22002.11,27520.89,20.05,Reorder Now
ITM10010,Pharma,465.57,33.255,0.013,2.0,1.5,82.06,148.57,41.3,56,93865.86,194887.7,51.84,Reorder Now
ITM10011,Groceries,628.28,44.877,0.289,7.0,1.5,110.74,424.88,157.9,20,25839.83,30663.6,15.73,Reorder Now
ITM10012,Automotive,412.72,29.48,0.482,3.0,1.5,72.75,161.19,38.49,418,86182.02,176734.68,51.24,Hold
ITM10013,Apparel,253.18,18.084,0.115,5.0,1.5,44.62,135.05,55.84,56,24568.47,39104.01,37.17,Reorder Now
ITM10014,Pharma,580.84,41.489,0.182,4.0,1.5,102.38,268.33,67.9,160,63505.98,117017.45,45.73,Reorder Now
ITM10015,Apparel,546.59,39.042,0.311,5.0,1.5,96.34,291.55,49.71,251,91353.27,187588.67,51.3,Reorder Now
ITM10016,Pharma,380.84,27.203,0.079,7.0,1.5,67.12,257.54,44.72,155,60485.11,118499.8,48.96,Reorder Now
ITM10018,Electronics,166.26,11.876,0.086,8.0,1.5,29.31,124.31,34.63,207,25272.28,46886.29,46.1,Hold
ITM10019,Pharma,507.79,36.271,0.307,6.0,1.5,89.51,307.13,44.4,147,96550.68,205031.73,52.91,Reorder Now
ITM10020,Apparel,580.05,41.432,0.261,8.0,1.5,102.24,433.7,50.89,220,96988.66,194946.42,50.25,Reorder Now
ITM10021,Automotive,222.2,15.871,0.307,3.0,1.5,39.17,86.79,47.96,146,24841.0,37497.8,33.75,Hold
ITM10022,Pharma,248.15,17.725,0.3,2.0,1.5,43.74,79.19,30.54,276,54751.58,114329.63,52.11,Hold
ITM10023,Electronics,90.21,6.444,0.046,5.0,1.5,15.9,48.12,18.27,183,25248.87,35234.28,28.34,Hold
ITM10024,Electronics,505.71,36.122,0.065,3.0,1.5,89.13,197.5,63.71,54,56241.92,102420.41,45.09,Reorder Now
ITM10025,Groceries,48.28,3.448,0.007,9.0,1.5,8.51,39.54,16.04,213,12637.05,9196.87,-37.41,Hold
ITM10026,Groceries,81.34,5.81,0.577,2.0,1.5,14.4,26.02,18.77,210,21033.46,22802.08,7.76,Hold
ITM10027,Apparel,48.84,3.489,0.021,5.0,1.5,8.61,26.05,14.54,123,14578.55,10540.24,-38.31,Hold
ITM10028,Pharma,465.51,33.251,0.062,3.0,1.5,82.05,181.8,159.93,42,17549.99,18351.27,4.37,Reorder Now
ITM10029,Pharma,289.79,20.699,0.109,4.0,1.5,51.08,133.87,39.9,284,46947.7,90520.61,48.14,Hold
ITM10030,Groceries,215.92,15.423,0.239,5.0,1.5,38.07,115.18,28.12,309,49924.63,97742.79,48.92,Hold
ITM10031,Pharma,632.07,45.148,0.061,3.0,1.5,111.4,246.84,91.44,449,48218.87,81216.2,40.63,Hold
