item_id,category,daily_demand,demand_std_dev,lead_time_days,reorder_frequency_days,ADI,CV2,intermittency_class
ITM10734,Electronics,43.17,8.65,7,11,11.0,0.040148388465230764,Intermittent
ITM12121,Automotive,32.24,7.21,7,6,6.0,0.05001271866091164,Intermittent
ITM11038,Apparel,32.36,4.06,9,3,3.0,0.015741098672077566,Intermittent
ITM12960,Apparel,26.93,1.72,2,6,6.0,0.0040792863013942296,Intermittent
ITM10763,Automotive,47.18,2.17,8,11,11.0,0.002115454041155597,Intermittent
ITM12816,Pharma,11.51,7.16,2,14,14.0,0.3869683069381742,Intermittent
ITM11362,Pharma,44.39,3.5,3,5,5.0,0.006216784292454584,Intermittent
ITM11966,Apparel,5.03,9.94,5,4,4.0,3.9051417143263665,Lumpy
ITM12150,Electronics,10.25,8.68,4,5,5.0,0.7171198096371207,Lumpy
ITM10699,Apparel,13.39,4.85,8,8,8.0,0.13119652232306941,Intermittent
ITM11432,Pharma,28.49,6.86,8,9,9.0,0.05797801375196954,Intermittent
ITM10972,Automotive,29.4,6.22,4,14,14.0,0.04475959091119441,Intermittent
ITM12914,Groceries,4.97,4.4,2,6,6.0,0.7837771093360973,Lumpy
ITM11852,Electronics,12.38,0.66,2,8,8.0,0.0028421472957842783,Intermittent
ITM12989,Apparel,22.19,2.1,7,6,6.0,0.008956204161649533,Intermittent
ITM12515,Electronics,37.75,9.67,7,14,14.0,0.06561740274549362,Intermittent
ITM12847,Pharma,20.32,5.8,6,13,13.0,0.08147203794407588,Intermittent
ITM12190,Pharma,11.4,4.06,9,4,4.0,0.1268359495229301,Intermittent
ITM12581,Automotive,48.66,6.47,6,11,11.0,0.01767927096409842,Intermittent
ITM11823,Automotive,22.13,4.63,3,6,6.0,0.0437722785438467,Intermittent
ITM11841,Electronics,41.35,0.69,6,8,8.0,0.00027844995606269066,Intermittent
ITM12854,Automotive,35.8,4.01,8,12,12.0,0.01254650291813614,Intermittent
ITM11028,Pharma,24.2,1.1,3,9,9.0,0.0020661157024793398,Intermittent
ITM11703,Apparel,20.67,7.8,8,11,11.0,0.14239943040227837,Intermittent
ITM10325,Electronics,21.45,3.09,3,7,7.0,0.02075211501784928,Intermittent
ITM12429,Pharma,20.93,6.05,5,12,12.0,0.08355497096434797,Intermittent
ITM13073,Groceries,6.02,0.52,8,10,10.0,0.0074612862992682214,Intermittent
ITM10096,Automotive,3.6,8.91,2,6,6.0,6.125625,Lumpy
ITM12473,Groceries,36.61,1.27,3,12,12.0,0.0012033943944010413,Intermittent
ITM12708,Apparel,16.22,9.9,3,9,9.0,0.37253637940707396,Intermittent
ITM10118,Electronics,31.68,9.13,4,5,5.0,0.083056037808642,Intermittent
ITM10800,Groceries,8.64,7.51,2,3,3.0,0.7555311749828532,Lumpy
ITM10104,Electronics,1.94,0.77,4,4,4.0,0.15753533850568607,Intermittent
ITM11998,Automotive,47.3,1.4,4,12,12.0,0.0008760598760107093,Intermittent
